Cliente;Total
     Academia de Idiomas GlobalTalk;2210,67
     Arquitectura & Diseño Morales;2205,95
     Centro Deportivo FitLife;430,76
     Centro de Formación NextStep;4404,88
     Clínica Dental Sonrisa Sana;560,23
     Colegio Público La Encina;1806,53
     Constructora Vial Murillo SA;1292,76
     Consultora ITSolves SL;6040,02
     Distribuidora Alimentos Norte SA;2887,06
     Editorial Páginas Vivas SL;2657,64
     Estudio Jurídico Peña & Asociados;1040,6
     Gestoría Fernández e Hijos SL;992,2
     Hotel Boutique Casa Solera;613,83
     Ingeniería Técnica Valdés SL;3888,76
     Restaurante El Rincón de Mar;361,79
     Supermercados Frescos SA;5743,39
     Óptica Visión Clara;177,87
