id_producto,nombre,referencia,categoria,precio_venta,precio_coste,stock,unidad_medida,proveedor,descripcion
1,Portátil Lenovo IdeaPad 3,LEN-IP3-001,Portátiles,599.00,420.00,15,Unidad,Lenovo Iberia SL,Portátil 15.6" Intel Core i5 8GB RAM 512GB SSD
2,Portátil HP 15s,HP-15S-002,Portátiles,549.00,385.00,10,Unidad,HP España SA,Portátil 15.6" AMD Ryzen 5 8GB RAM 256GB SSD
3,Portátil Acer Aspire 5,ACE-AS5-003,Portátiles,479.00,330.00,8,Unidad,Acer España SL,Portátil 15.6" Intel Core i3 8GB RAM 512GB SSD
4,Monitor Samsung 24",SAM-M24-004,Monitores,189.00,130.00,20,Unidad,Samsung Electronics,Monitor FHD IPS 24" HDMI DisplayPort
5,Monitor LG 27" 4K,LG-M27-005,Monitores,349.00,245.00,12,Unidad,LG Electronics,Monitor 4K UHD 27" HDR10 USB-C
6,Monitor BenQ 24" IPS,BEN-M24-006,Monitores,215.00,150.00,18,Unidad,BenQ España,Monitor IPS 24" FHD 75Hz Eye-Care
7,Teclado Logitech MK470,LOG-TK-007,Periféricos,49.00,32.00,35,Unidad,Logitech España,Combo teclado y ratón inalámbrico slim
8,Teclado mecánico HyperX,HYP-TM-008,Periféricos,89.00,60.00,22,Unidad,HyperX Europe,Teclado mecánico TKL switches Red retroiluminado
9,Ratón Logitech MX Master 3,LOG-RM-009,Periféricos,99.00,68.00,30,Unidad,Logitech España,Ratón inalámbrico ergonómico 7 botones
10,Ratón gaming Razer DeathAdder,RAZ-RG-010,Periféricos,59.00,40.00,25,Unidad,Razer Europe,Ratón gaming óptico 6400 DPI cable trenzado
11,Disco SSD Samsung 870 EVO 1TB,SAM-SSD-011,Almacenamiento,89.00,62.00,40,Unidad,Samsung Electronics,SSD SATA 2.5" 1TB 560MB/s lectura
12,Disco SSD WD Blue 500GB,WD-SSD-012,Almacenamiento,49.00,33.00,55,Unidad,Western Digital,SSD SATA 2.5" 500GB 560MB/s lectura
13,Disco HDD Seagate 2TB,SEA-HDD-013,Almacenamiento,55.00,37.00,30,Unidad,Seagate Technology,HDD 3.5" 2TB 7200rpm SATA III
14,Memoria RAM Kingston 16GB,KIN-RAM-014,Memoria,39.00,26.00,60,Unidad,Kingston Technology,DDR4 3200MHz CL22 DIMM desktop
15,Memoria RAM Corsair 32GB Kit,COR-RAM-015,Memoria,75.00,52.00,28,Unidad,Corsair Memory,DDR4 3600MHz CL18 2x16GB Vengeance RGB
16,Tarjeta gráfica RTX 3060,NVI-GPU-016,Componentes,329.00,240.00,9,Unidad,ASUS España,NVIDIA GeForce RTX 3060 12GB GDDR6
17,Tarjeta gráfica RX 6600,AMD-GPU-017,Componentes,279.00,198.00,7,Unidad,Sapphire Technology,AMD Radeon RX 6600 8GB GDDR6
